Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code
H13524,2013,1.0,0,N,V,V,U,1000,1,1988.0,   .,5085
H13525,2016,0.99726776,0,N,V,V,U,1000,1,1988.0,   .,5085
H5464,2016,1.0,0,V,V,V,U,1650,1,1980.0,   .,5110
H5486,2012,1.0,0,V,V,V,U,850,1,1980.0,   .,5110
H5487,2015,1.0,0,V,V,V,U,850,1,1980.0,   .,5110
H6145,2016,0.99726776,0,V,V,V,U,2600,1,1988.0,   .,5110
H6146,2013,1.0,0,N,V,V,U,3500,1,1988.0,   .,5110
H7181,2014,1.0,0,N,V,V,U,260,1,1988.0,   .,5110
H15714,2015,1.0,0,V,N,O,R,530,1,1999.0,4,5133
H18066,2013,1.0,0,V,N,O,R,4700,1,1969.0,5,5133
H14149,2015,1.0,1,N,V,V,U,838,1,1960.0,   .,5145
H12996,2013,1.0,0,N,V,V,U,1728,1,1988.0,   .,5161
H2418,2013,1.0,0,V,V,V,U,1024,1,1960.0,   .,5168
H2507,2015,1.0,0,V,N,O,R,1440,1,1985.0,5,5177
H2593,2012,1.0,0,V,V,V,U,300,1,1980.0,   .,5177
H2638,2012,0.0,0,V,V,V,U,1700,1,1980.0,   .,5177
H2639,2016,0.0,0,V,V,V,U,1700,1,1980.0,   .,5177
H2640,2015,1.0,0,V,N,O,R,3688,1,1980.0,>=10,5177
H2641,2013,1.0,0,V,N,O,R,900,1,1970.0,5,5177
H3254,2013,1.0,0,V,V,V,U,3000,1,1980.0,   .,5177
H3588,2013,1.0,0,V,N,O,R,1170,1,1972.0,5,5177
H3728,2016,0.99726776,0,V,N,O,R,2976,1,1965.0,9,5177
