Insured_Period,Building Dimension,Building_Type,Customer Id,Building_Painted,Building_Fenced,Garden,NumberOfWindows,Geo_Code,Settlement,Claim
1.0,1300.0,2,H14499,N,V,V,   .,4112,U,0
1.0,1300.0,2,H14500,N,V,V,   .,4112,U,0
1.0,1592.0,2,H4286,N,V,V,   .,4126,U,0
1.0,1592.0,2,H4287,N,V,V,   .,4126,U,0
1.0,450.0,2,H15998,V,N,O,4,4166,R,0
1.0,480.0,2,H3780,N,V,V,   .,4176,U,0
1.0,487.0,2,H16404,V,N,O,3,4197,R,0
1.0,1550.0,1,H15609,V,N,O,4,5004,R,1
0.99726776,1550.0,1,H15610,V,N,O,4,5004,R,0
1.0,650.0,1,H17251,V,N,O,2,5004,R,1
1.0,650.0,1,H17252,V,N,O,2,5004,R,0
1.0,2600.0,1,H13147,V,N,O,6,5023,R,1
1.0,1314.0,1,H13148,N,V,V,   .,5023,U,1
1.0,2960.0,1,H3595,V,V,V,   .,5023,U,0
1.0,2960.0,1,H3596,V,V,V,   .,5023,U,0
1.0,1386.0,1,H3649,V,V,V,   .,5023,U,0
1.0,1100.0,1,H3695,V,V,V,   .,5023,U,0
1.0,1100.0,1,H3696,V,V,V,   .,5023,U,1
1.0,680.0,1,H3792,V,N,O,3,5023,R,0
0.857534247,3325.0,1,H3850,V,V,V,   .,5023,U,0
1.0,1254.0,1,H4018,V,V,V,   .,5023,U,1
1.0,1000.0,1,H4101,V,V,V,   .,5023,U,0
1.0,1842.0,1,H4651,V,V,V,   .,5023,U,0
0.295890411,300.0,1,H3481,V,V,V,   .,5026,U,0
1.0,1113.0,1,H6729,V,V,V,   .,5026,U,0
1.0,310.0,1,H17837,V,N,O,3,5052,R,0
0.99726776,736.0,1,H4081,N,V,V,   .,5052,U,0
1.0,2050.0,1,H12871,V,N,O,5,5061,R,0
1.0,2050.0,1,H12872,V,N,O,5,5061,R,0
1.0,1262.0,1,H18579,V,N,O,3,5061,R,0
1.0,470.0,1,H2417,V,V,V,   .,5061,U,0
1.0,2400.0,1,H2586,V,V,V,   .,5061,U,0
1.0,6510.0,1,H2695,V,N,O,7,5061,R,1
1.0,320.0,1,H5910,V,V,V,   .,5061,U,0
1.0,425.0,1,H6242,V,N,O,3,5061,R,0
1.0,1500.0,1,H3500,V,V,V,   .,5065,U,0
1.0,900.0,1,H3579,V,V,V,   .,5077,U,0
1.0,600.0,1,H6838,N,V,V,   .,5077,U,0
0.99726776,2000.0,1,H13522,N,V,V,   .,5085,U,0
1.0,1000.0,1,H13523,N,V,V,   .,5085,U,0
1.0,1000.0,1,H13524,N,V,V,   .,5085,U,0
0.99726776,1000.0,1,H13525,N,V,V,   .,5085,U,0
1.0,1650.0,1,H5464,V,V,V,   .,5110,U,0
1.0,850.0,1,H5486,V,V,V,   .,5110,U,0
1.0,850.0,1,H5487,V,V,V,   .,5110,U,0
0.99726776,2600.0,1,H6145,V,V,V,   .,5110,U,0
1.0,3500.0,1,H6146,N,V,V,   .,5110,U,1
1.0,260.0,1,H7181,N,V,V,   .,5110,U,0
1.0,530.0,1,H15714,V,N,O,4,5133,R,0
1.0,4700.0,1,H18066,V,N,O,5,5133,R,1
1.0,838.0,1,H14149,N,V,V,   .,5145,U,0
1.0,1728.0,1,H12996,N,V,V,   .,5161,U,0
1.0,1024.0,1,H2418,V,V,V,   .,5168,U,0
1.0,1440.0,1,H2507,V,N,O,5,5177,R,0
1.0,300.0,1,H2593,V,V,V,   .,5177,U,0
0.0,1700.0,1,H2638,V,V,V,   .,5177,U,0
0.0,1700.0,1,H2639,V,V,V,   .,5177,U,0
1.0,3688.0,1,H2640,V,N,O,>=10,5177,R,1
1.0,900.0,1,H2641,V,N,O,5,5177,R,0
1.0,3000.0,1,H3254,V,V,V,   .,5177,U,0
1.0,1170.0,1,H3588,V,N,O,5,5177,R,0
0.99726776,2976.0,1,H3728,V,N,O,9,5177,R,0
1.0,4101.0,1,H5256,V,V,V,   .,5177,U,0
1.0,800.0,4,H15558,V,N,O,4,6004,R,0
0.99726776,3100.0,4,H18719,V,N,O,6,6004,R,0
0.99726776,320.0,4,H19593,V,N,O,3,6004,R,0
0.781420765,2490.0,4,H19784,V,N,O,6,6004,R,1
0.99726776,1670.0,4,H19813,V,N,O,5,6004,R,0
1.0,900.0,4,H3038,V,V,V,   .,6004,U,0
1.0,460.0,4,H3509,V,N,O,5,6004,R,0
0.99726776,3500.0,4,H4447,V,N,O,4,6004,R,0
1.0,14.0,4,H4555,N,V,V,   .,6004,U,0
0.915068493,9570.0,4,H5180,N,V,V,   .,6004,U,0
1.0,1200.0,4,H5512,V,N,O,4,6004,R,0
1.0,10.0,4,H6126,N,V,V,   .,6004,U,0
1.0,570.0,4,H6575,V,N,O,3,6004,R,0
0.99726776,3522.0,4,H6634,V,N,O,4,6004,R,0
1.0,650.0,4,H6164,V,N,O,4,6007,R,0
0.98630137,650.0,4,H6165,V,N,O,4,6007,R,0
1.0,4112.0,4,H1503,V,N,O,7,6011,R,1
1.0,4112.0,4,H18935,V,N,O,5,6011,R,0
0.99726776,1470.0,4,H19802,V,N,O,6,6011,R,0
1.0,600.0,4,H13368,N,V,V,   .,6012,U,0
0.99726776,600.0,4,H13369,N,V,V,   .,6012,U,1
1.0,380.0,4,H13370,N,V,V,   .,6012,U,0
0.084931507,460.0,4,H13715,N,V,V,   .,6012,U,0
1.0,5419.0,4,H14484,N,V,V,   .,6012,U,1
1.0,5419.0,4,H14485,N,V,V,   .,6012,U,1
1.0,2800.0,4,H14550,V,N,O,8,6012,R,1
1.0,2800.0,4,H14551,V,N,O,8,6012,R,0
0.99726776,2800.0,4,H14552,V,N,O,8,6012,R,0
1.0,450.0,4,H15515,V,N,O,4,6012,R,0
1.0,1380.0,4,H15630,V,N,O,5,6012,R,0
1.0,428.0,4,H15772,V,N,O,4,6012,R,0
1.0,1000.0,4,H1584,V,N,O,6,6012,R,0
1.0,1100.0,4,H15935,V,N,O,7,6012,R,0
0.161643836,520.0,4,H16002,V,N,O,5,6012,R,0
1.0,300.0,4,H1622,V,N,O,3,6012,R,1
1.0,300.0,4,H1624,V,N,O,3,6012,R,0
1.0,300.0,4,H1625,V,N,O,3,6012,R,0
1.0,3250.0,4,H16624,V,N,O,8,6012,R,1
1.0,1000.0,4,H16715,V,N,O,5,6012,R,0
1.0,660.0,4,H16977,V,N,O,5,6012,R,1
1.0,300.0,4,H17859,V,N,O,4,6012,R,0
1.0,550.0,4,H18015,V,N,O,5,6012,R,0
1.0,550.0,4,H18016,V,N,O,5,6012,R,1
1.0,1255.0,4,H19140,V,N,O,5,6012,R,1
0.997260274,1255.0,4,H19141,V,N,O,5,6012,R,0
1.0,5610.0,4,H19368,V,N,O,5,6012,R,1
0.095890411,1800.0,4,H19788,V,N,O,6,6012,R,0
0.99726776,1800.0,4,H19789,V,N,O,6,6012,R,0
1.0,500.0,4,H5129,V,N,O,4,6012,R,0
1.0,1500.0,4,H5348,N,V,V,   .,6012,U,1
1.0,1850.0,4,H6163,V,N,O,4,6012,R,0
1.0,950.0,4,H7159,N,V,V,   .,6012,U,1
1.0,340.0,4,H7183,N,V,V,   .,6012,U,0
1.0,340.0,4,H7184,N,V,V,   .,6012,U,0
0.997260274,997.0,4,H7279,V,N,O,4,6012,R,0
1.0,3336.0,4,H16150,V,N,O,5,6014,R,0
1.0,3270.0,4,H17519,V,N,O,7,6014,R,1
1.0,3270.0,4,H17520,V,N,O,7,6014,R,0
0.665753425,300.0,4,H6536,N,V,V,   .,6016,U,0
1.0,2235.0,4,H13427,N,V,V,   .,6027,U,0
1.0,1400.0,4,H14436,N,V,V,   .,6027,U,0
1.0,5586.0,4,H16254,V,N,O,5,6027,R,0
1.0,5586.0,4,H16255,V,N,O,5,6027,R,0
1.0,800.0,4,H4560,V,N,O,4,6027,R,1
0.893150685,300.0,4,H12619,N,V,V,   .,6029,U,0
1.0,4310.0,4,H12638,N,V,V,   .,6029,U,1
1.0,2160.0,4,H12928,N,V,V,   .,6029,U,1
1.0,650.0,4,H15123,V,N,O,3,6029,R,1
1.0,210.0,4,H16926,V,N,O,2,6029,R,0
1.0,7063.0,4,H17036,V,N,O,7,6029,R,1
1.0,1696.0,4,H17184,V,N,O,5,6029,R,0
1.0,740.0,4,H17876,V,N,O,4,6029,R,0
0.024590164,3300.0,4,H19966,V,N,O,2,6029,R,0
1.0,350.0,4,H200,V,N,O,4,6029,R,0
1.0,400.0,4,H2198,V,V,V,   .,6029,U,0
0.0,1000.0,4,H2459,V,V,V,   .,6029,U,1
0.893150685,162.0,4,H385,V,V,V,   .,6029,U,0
1.0,320.0,4,H391,N,V,V,   .,6029,U,0
0.99726776,320.0,4,H392,N,V,V,   .,6029,U,0
0.580821918,18000.0,4,H5724,V,V,V,   .,6029,U,1
1.0,1225.0,4,H725,V,V,V,   .,6029,U,1
1.0,400.0,4,H14086,N,V,V,   .,6030,U,0
0.832876712,270.0,4,H14735,N,V,V,   .,6030,U,0
1.0,740.0,4,H16502,V,N,O,4,6030,R,0
1.0,1150.0,4,H17791,V,N,O,3,6030,R,0
1.0,4200.0,4,H18545,V,N,O,4,6030,R,1
0.260273973,100.0,4,H19770,V,N,O,3,6030,R,0
0.747945205,900.0,4,H6135,N,V,V,   .,6030,U,0
1.0,9920.0,4,H6607,N,V,V,   .,6030,U,1
1.0,2625.0,4,H6954,V,V,V,   .,6030,U,0
1.0,5350.0,4,H13667,V,N,O,7,6032,R,0
0.915068493,270.0,4,H1374,V,V,V,   .,6032,U,0
1.0,3406.0,4,H14287,N,V,V,   .,6032,U,0
1.0,3700.0,4,H15347,V,N,O,7,6032,R,1
1.0,3700.0,4,H15348,V,N,O,7,6032,R,1
0.418032787,3369.0,4,H18765,V,N,O,3,6032,R,0
1.0,3369.0,4,H18766,V,N,O,3,6032,R,1
1.0,3369.0,4,H18767,V,N,O,3,6032,R,1
0.104109589,4846.0,4,H4087,V,V,V,   .,6032,U,0
1.0,7887.0,4,H4475,V,V,V,   .,6032,U,1
1.0,1300.0,4,H5184,V,V,V,   .,6032,U,1
0.769863014,1300.0,4,H5185,V,V,V,   .,6032,U,0
1.0,4000.0,4,H15504,V,N,O,4,6033,R,1
1.0,4000.0,4,H15505,V,N,O,4,6033,R,0
1.0,171.0,4,H16260,V,N,O,3,6035,R,1
1.0,171.0,4,H16261,V,N,O,3,6035,R,0
1.0,570.0,4,H15826,V,N,O,2,6036,R,0
1.0,65.0,4,H5245,N,V,V,   .,6036,U,0
0.99726776,367.0,4,H19615,V,N,O,4,6044,R,0
1.0,200.0,4,H6058,N,V,V,   .,6048,U,1
1.0,400.0,4,H13802,N,V,V,   .,6057,U,1
1.0,400.0,4,H13713,N,V,V,   .,6067,U,0
1.0,400.0,4,H13714,N,V,V,   .,6067,U,0
1.0,400.0,4,H14252,V,N,O,4,6069,R,0
1.0,400.0,4,H14253,V,N,O,4,6069,R,0
1.0,400.0,4,H14592,V,N,O,4,6069,R,0
1.0,6300.0,4,H15219,V,N,O,5,6069,R,1
1.0,250.0,4,H17277,V,N,O,5,6069,R,0
1.0,750.0,4,H18713,V,N,O,3,6069,R,0
0.024657534,400.0,4,H2984,V,V,V,   .,6069,U,0
1.0,660.0,4,H393,V,N,O,5,6069,R,1
1.0,1100.0,4,H394,V,N,O,3,6069,R,0
1.0,530.0,4,H396,V,N,O,6,6069,R,0
1.0,3269.0,4,H15194,V,N,O,4,6070,R,0
1.0,3269.0,4,H15195,V,N,O,4,6070,R,1
1.0,3269.0,4,H15196,V,N,O,4,6070,R,0
0.0,300.0,4,H3672,N,V,V,   .,6073,U,0
1.0,640.0,4,H18343,V,N,O,4,6077,R,0
1.0,530.0,4,H12817,N,V,V,   .,6079,U,0
1.0,450.0,4,H15625,V,N,O,3,6079,R,0
1.0,3800.0,4,H19106,V,N,O,7,6079,R,0
0.476712329,1140.0,4,H5705,V,N,O,3,6079,R,1
1.0,400.0,4,H12668,V,N,O,5,6083,R,0
1.0,130.0,4,H13306,N,V,V,   .,6083,U,0
1.0,243.0,4,H13348,N,V,V,   .,6083,U,0
0.865753425,243.0,4,H13349,N,V,V,   .,6083,U,0
1.0,2106.0,4,H1335,V,V,V,   .,6083,U,1
1.0,1842.0,4,H13398,N,V,V,   .,6083,U,0
0.554644809,2713.0,4,H1367,V,V,V,   .,6083,U,0
1.0,500.0,4,H13899,V,N,O,5,6083,R,0
1.0,614.0,4,H14023,N,V,V,   .,6083,U,0
1.0,1370.0,4,H14231,V,N,O,5,6083,R,0
1.0,1370.0,4,H14232,V,N,O,5,6083,R,0
1.0,430.0,4,H14574,N,V,V,   .,6083,U,0
1.0,1563.0,4,H14648,N,V,V,   .,6083,U,0
1.0,250.0,4,H14811,N,V,V,   .,6083,U,0
0.832876712,1350.0,4,H14825,N,V,V,   .,6083,U,0
1.0,480.0,4,H14855,N,V,V,   .,6083,U,0
1.0,480.0,4,H14856,N,V,V,   .,6083,U,0
1.0,1600.0,4,H14857,N,V,V,   .,6083,U,0
1.0,5800.0,4,H14968,N,V,V,   .,6083,U,1
0.99726776,1000.0,4,H14969,V,N,O,6,6083,R,0
0.084931507,2000.0,4,H15095,V,N,O,6,6083,R,0
0.99726776,2880.0,4,H15590,V,N,O,8,6083,R,1
1.0,3343.0,4,H15644,V,N,O,7,6083,R,0
1.0,10573.0,4,H15869,V,N,O,9,6083,R,0
1.0,1853.0,4,H1593,V,V,V,   .,6083,U,0
0.163934426,5939.0,4,H16012,V,N,O,6,6083,R,0
1.0,518.0,4,H16176,V,N,O,4,6083,R,1
1.0,3120.0,4,H16237,V,N,O,4,6083,R,0
1.0,3120.0,4,H16238,V,N,O,4,6083,R,1
1.0,450.0,4,H16375,V,N,O,6,6083,R,0
1.0,12900.0,4,H16930,V,N,O,5,6083,R,0
1.0,12900.0,4,H16931,V,N,O,5,6083,R,1
1.0,450.0,4,H17129,V,N,O,3,6083,R,0
1.0,1300.0,4,H17417,V,N,O,5,6083,R,1
1.0,254.0,4,H17557,V,N,O,3,6083,R,1
1.0,1050.0,4,H17752,V,N,O,4,6083,R,0
1.0,4500.0,4,H18217,V,N,O,7,6083,R,0
1.0,700.0,4,H18220,V,N,O,3,6083,R,1
0.448087432,2712.0,4,H18234,V,N,O,6,6083,R,0
1.0,2712.0,4,H18235,V,N,O,6,6083,R,0
1.0,300.0,4,H18735,V,N,O,3,6083,R,0
0.50273224,1120.0,4,H18761,V,N,O,1,6083,R,0
1.0,5598.0,4,H19039,V,N,O,5,6083,R,1
0.99726776,4500.0,4,H19040,V,N,O,5,6083,R,1
0.75136612,2659.0,4,H19857,V,N,O,6,6083,R,0
0.50273224,450.0,4,H19902,V,N,O,2,6083,R,0
0.081967213,300.0,4,H19950,V,N,O,3,6083,R,0
1.0,500.0,4,H3085,V,N,O,4,6083,R,0
0.99726776,1619.0,4,H3106,V,V,V,   .,6083,U,0
1.0,826.0,4,H3107,V,V,V,   .,6083,U,1
0.99726776,826.0,4,H3108,V,V,V,   .,6083,U,0
1.0,1365.0,4,H3249,V,V,V,   .,6083,U,0
1.0,184.0,4,H3613,V,N,O,4,6083,R,0
1.0,970.0,4,H3646,V,N,O,4,6083,R,0
1.0,686.0,4,H372,V,V,V,   .,6083,U,0
1.0,900.0,4,H3752,V,N,O,5,6083,R,0
1.0,3508.0,4,H3897,V,N,O,7,6083,R,1
1.0,2900.0,4,H3983,V,V,V,   .,6083,U,1
1.0,2900.0,4,H3984,V,V,V,   .,6083,U,1
0.99726776,6984.0,4,H4004,V,V,V,   .,6083,U,0
1.0,2034.0,4,H4034,V,N,O,7,6083,R,0
1.0,7223.0,4,H4045,N,V,V,   .,6083,U,0
1.0,9400.0,4,H4071,V,V,V,   .,6083,U,1
1.0,4286.0,4,H4077,V,V,V,   .,6083,U,1
1.0,1700.0,4,H4085,V,V,V,   .,6083,U,0
1.0,1500.0,4,H4086,V,V,V,   .,6083,U,1
1.0,8400.0,4,H4125,V,N,O,8,6083,R,1
1.0,300.0,4,H4307,N,V,V,   .,6083,U,0
1.0,4176.0,4,H4428,V,V,V,   .,6083,U,0
1.0,4176.0,4,H4429,V,V,V,   .,6083,U,0
1.0,3400.0,4,H4474,V,N,O,6,6083,R,1
0.997260274,500.0,4,H4485,V,N,O,4,6083,R,1
1.0,500.0,4,H4486,V,N,O,4,6083,R,0
1.0,3501.0,4,H4488,V,N,O,5,6083,R,0
1.0,1325.0,4,H4512,V,V,V,   .,6083,U,0
1.0,1325.0,4,H4513,V,V,V,   .,6083,U,1
1.0,9500.0,4,H4579,V,N,O,5,6083,R,1
1.0,20.0,4,H4585,V,V,V,   .,6083,U,0
1.0,20.0,4,H4586,V,V,V,   .,6083,U,0
1.0,441.0,4,H4617,V,N,O,4,6083,R,0
1.0,1137.0,4,H4668,V,N,O,5,6083,R,1
1.0,250.0,4,H4796,N,V,V,   .,6083,U,0
1.0,418.0,4,H4990,N,V,V,   .,6083,U,0
1.0,860.0,4,H5021,N,V,V,   .,6083,U,0
0.468493151,500.0,4,H5094,N,V,V,   .,6083,U,0
0.797260274,3873.0,4,H5188,V,V,V,   .,6083,U,0
1.0,3708.0,4,H5196,V,N,O,7,6083,R,0
1.0,700.0,4,H5230,V,N,O,5,6083,R,1
1.0,7300.0,4,H5309,V,V,V,   .,6083,U,1
1.0,1080.0,4,H5316,N,V,V,   .,6083,U,0
1.0,1446.0,4,H5339,V,N,O,4,6083,R,1
1.0,357.0,4,H5401,N,V,V,   .,6083,U,0
1.0,2230.0,4,H5407,V,N,O,5,6083,R,0
1.0,1500.0,4,H5456,V,N,O,5,6083,R,0
1.0,4700.0,4,H5462,V,V,V,   .,6083,U,1
1.0,3757.0,4,H5528,V,N,O,4,6083,R,1
1.0,3043.0,4,H6064,V,V,V,   .,6083,U,0
0.99726776,317.0,4,H6085,N,V,V,   .,6083,U,0
1.0,1702.0,4,H6089,N,V,V,   .,6083,U,0
1.0,860.0,4,H6096,V,V,V,   .,6083,U,1
1.0,400.0,4,H6159,N,V,V,   .,6083,U,0
0.315068493,3450.0,4,H6316,V,N,O,7,6083,R,0
1.0,3510.0,4,H6373,V,V,V,   .,6083,U,1
1.0,1565.0,4,H642,V,V,V,   .,6083,U,0
1.0,4300.0,4,H6439,V,N,O,6,6083,R,1
0.99726776,4300.0,4,H6440,V,N,O,6,6083,R,0
1.0,6650.0,4,H6463,V,N,O,8,6083,R,1
1.0,6650.0,4,H6464,V,N,O,8,6083,R,1
1.0,1500.0,4,H6657,N,V,V,   .,6083,U,0
0.99726776,2857.0,4,H6701,V,N,O,7,6083,R,1
1.0,1178.0,4,H7295,V,V,V,   .,6083,U,0
1.0,5785.0,4,H7350,N,V,V,   .,6083,U,1
1.0,260.0,4,H7410,V,V,V,   .,6083,U,0
1.0,60.0,4,H529,V,V,V,   .,6084,U,0
1.0,400.0,4,H6380,V,N,O,3,6085,R,0
1.0,279.0,4,H12713,N,V,V,   .,6088,U,0
0.594520548,1196.0,4,H12935,N,V,V,   .,6088,U,0
1.0,670.0,4,H13194,N,V,V,   .,6088,U,1
1.0,1984.0,4,H13281,V,N,O,7,6088,R,1
1.0,450.0,4,H13446,N,V,V,   .,6088,U,0
1.0,234.0,4,H13811,N,V,V,   .,6088,U,0
1.0,4400.0,4,H13918,V,N,O,6,6088,R,1
1.0,4400.0,4,H13919,V,N,O,6,6088,R,1
1.0,412.0,4,H13931,V,N,O,3,6088,R,0
1.0,412.0,4,H13932,V,N,O,3,6088,R,0
1.0,600.0,4,H14151,N,V,V,   .,6088,U,0
1.0,1980.0,4,H14260,V,N,O,4,6088,R,1
1.0,870.0,4,H14261,N,V,V,   .,6088,U,0
1.0,2100.0,4,H14298,V,N,O,5,6088,R,1
1.0,12721.0,4,H14321,V,N,O,8,6088,R,1
1.0,12721.0,4,H14322,V,N,O,8,6088,R,1
0.99726776,12721.0,4,H14323,V,N,O,8,6088,R,0
1.0,1260.0,4,H14350,N,V,V,   .,6088,U,0
1.0,520.0,4,H14494,V,N,O,3,6088,R,1
0.74863388,1930.0,4,H14557,N,V,V,   .,6088,U,0
0.99726776,3070.0,4,H14627,N,V,V,   .,6088,U,1
1.0,4600.0,4,H14700,N,V,V,   .,6088,U,1
0.0,4600.0,4,H14701,N,V,V,   .,6088,U,0
0.99726776,1000.0,4,H14824,N,V,V,   .,6088,U,1
0.175342466,3500.0,4,H15054,N,V,V,   .,6088,U,0
1.0,2205.0,4,H15198,V,N,O,7,6088,R,1
0.161643836,1000.0,4,H15211,V,N,O,3,6088,R,0
1.0,2110.0,4,H15435,V,N,O,7,6088,R,0
1.0,2110.0,4,H15436,V,N,O,7,6088,R,0
1.0,2110.0,4,H15437,V,N,O,7,6088,R,1
1.0,1630.0,4,H15438,V,N,O,5,6088,R,0
1.0,1628.0,4,H15453,V,N,O,5,6088,R,1
0.117808219,1350.0,4,H15808,V,N,O,6,6088,R,0
1.0,332.0,4,H15975,V,N,O,4,6088,R,0
1.0,332.0,4,H15976,V,N,O,4,6088,R,1
1.0,1825.0,4,H16081,V,N,O,7,6088,R,0
1.0,6600.0,4,H16082,V,N,O,1,6088,R,1
1.0,8265.0,4,H16528,V,N,O,5,6088,R,1
1.0,10600.0,4,H16628,V,N,O,8,6088,R,1
1.0,3510.0,4,H16727,V,N,O,4,6088,R,1
0.0,8000.0,4,H16940,V,N,O,7,6088,R,1
1.0,3780.0,4,H16978,V,N,O,7,6088,R,1
1.0,3780.0,4,H16979,V,N,O,7,6088,R,1
1.0,3780.0,4,H16980,V,N,O,7,6088,R,1
0.120547945,2471.0,4,H17089,V,N,O,5,6088,R,0
1.0,1908.0,4,H17110,V,N,O,6,6088,R,0
0.99726776,490.0,4,H17634,V,N,O,4,6088,R,1
1.0,15000.0,4,H17781,V,N,O,7,6088,R,1
0.915068493,15000.0,4,H17782,V,N,O,7,6088,R,1
1.0,12470.0,4,H17784,V,N,O,6,6088,R,1
1.0,395.0,4,H17788,V,N,O,3,6088,R,0
0.99726776,395.0,4,H17789,V,N,O,3,6088,R,0
0.495890411,12961.0,4,H17790,V,N,O,6,6088,R,0
0.0,350.0,4,H17957,V,N,O,4,6088,R,0
0.0,350.0,4,H17958,V,N,O,4,6088,R,0
0.0,350.0,4,H17959,V,N,O,4,6088,R,0
0.915300546,280.0,4,H18127,V,N,O,2,6088,R,1
0.084931507,280.0,4,H18128,V,N,O,2,6088,R,0
1.0,2600.0,4,H18320,V,N,O,4,6088,R,0
1.0,630.0,4,H1841,V,V,V,   .,6088,U,0
0.0,520.0,4,H18422,V,N,O,3,6088,R,0
1.0,474.0,4,H1843,V,N,O,2,6088,R,0
1.0,800.0,4,H18509,V,N,O,7,6088,R,1
1.0,800.0,4,H18655,V,N,O,5,6088,R,0
0.480874317,1315.0,4,H18674,V,N,O,6,6088,R,0
0.780821918,3100.0,4,H18943,V,N,O,7,6088,R,1
0.99726776,3112.0,4,H18953,V,N,O,7,6088,R,1
0.99726776,750.0,4,H1901,N,V,V,   .,6088,U,0
0.99726776,240.0,4,H19105,V,N,O,4,6088,R,0
1.0,2374.0,4,H19175,V,N,O,4,6088,R,0
0.747945205,200.0,4,H19580,V,N,O,2,6088,R,0
1.0,1620.0,4,H1960,N,V,V,   .,6088,U,1
0.99726776,7291.0,4,H19828,V,N,O,8,6088,R,1
1.0,11547.0,4,H2078,V,V,V,   .,6088,U,1
1.0,1500.0,4,H2144,V,N,O,6,6088,R,0
1.0,1800.0,4,H2157,V,V,V,   .,6088,U,0
1.0,1800.0,4,H2158,V,V,V,   .,6088,U,0
1.0,5385.0,4,H2177,V,V,V,   .,6088,U,1
0.0,3482.0,4,H2242,V,V,V,   .,6088,U,0
1.0,1572.0,4,H2295,V,V,V,   .,6088,U,0
0.0,200.0,4,H2451,V,V,V,   .,6088,U,0
0.0,600.0,4,H2499,V,V,V,   .,6088,U,0
0.0,400.0,4,H2547,V,V,V,   .,6088,U,0
1.0,700.0,4,H2604,V,V,V,   .,6088,U,0
1.0,1400.0,4,H2683,V,V,V,   .,6088,U,1
1.0,1400.0,4,H2684,V,V,V,   .,6088,U,0
1.0,5266.0,4,H2777,V,N,O,5,6088,R,0
1.0,1874.0,4,H2786,V,N,O,5,6088,R,0
0.0,4288.0,4,H2825,V,V,V,   .,6088,U,1
1.0,1125.0,4,H2858,V,V,V,   .,6088,U,0
0.021917808,1125.0,4,H2859,V,V,V,   .,6088,U,0
0.997260274,820.0,4,H2861,V,N,O,4,6088,R,0
0.99726776,1248.0,4,H2963,V,N,O,5,6088,R,1
0.0,685.0,4,H3003,V,V,V,   .,6088,U,1
0.0,685.0,4,H3004,V,V,V,   .,6088,U,0
1.0,3732.0,4,H3006,V,N,O,8,6088,R,1
1.0,1425.0,4,H3093,V,N,O,6,6088,R,1
1.0,1425.0,4,H3094,V,N,O,6,6088,R,0
1.0,1000.0,4,H3748,V,N,O,6,6088,R,0
0.0,700.0,4,H3826,N,V,V,   .,6088,U,0
1.0,952.0,4,H3985,V,N,O,6,6088,R,0
1.0,400.0,4,H4050,V,N,O,4,6088,R,0
0.99726776,400.0,4,H4051,V,N,O,4,6088,R,0
1.0,400.0,4,H4122,N,V,V,   .,6088,U,0
1.0,400.0,4,H4123,N,V,V,   .,6088,U,0
1.0,4590.0,4,H4328,N,V,V,   .,6088,U,0
1.0,1155.0,4,H4338,V,N,O,5,6088,R,1
